2018-08-17 13:31:15.078 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-08-17 13:31:15.484 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-08-17 13:31:15.499 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-srv-site.xml]
2018-08-17 13:31:18.017 INFO  Initializing ExecutorService  'mallTaskExecutor'
2018-08-17 13:31:18.392 INFO  HV000001: Hibernate Validator 5.1.3.Final
2018-08-17 13:31:18.752 INFO  Looking for @ControllerAdvice: WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 13:31:14 CST 2018]; root of context hierarchy
2018-08-17 13:31:18.814 INFO  Looking for @ControllerAdvice: WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 13:31:14 CST 2018]; root of context hierarchy
2018-08-17 13:31:19.017 INFO  Mapped URL path [/siteMallService] onto handler '/siteMallService'
2018-08-17 13:31:19.302 INFO  FrameworkServlet 'remote': initialization completed in 4396 ms
2018-08-17 13:32:18.744 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:32:19.894 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:32:19.894 INFO  ======响应报文[耗时：1150毫秒]======
2018-08-17 13:32:33.643 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:32:33.964 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:32:33.964 INFO  ======响应报文[耗时：321毫秒]======
2018-08-17 13:32:33.980 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:32:34.058 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:32:34.058 INFO  ======响应报文[耗时：78毫秒]======
2018-08-17 13:32:41.313 INFO  ======交易[MallPoints-UserPoints]：开始执行======
2018-08-17 13:32:41.560 INFO  ======交易[MallPoints-UserPoints]：执行结束======
2018-08-17 13:32:41.560 INFO  ======响应报文[耗时：247毫秒]======
2018-08-17 13:32:41.575 INFO  ======交易[MallPoints-PointsRecord]：开始执行======
2018-08-17 13:32:41.591 INFO  ======交易[MallPoints-PointsRecord]：执行结束======
2018-08-17 13:32:41.591 INFO  ======响应报文[耗时：16毫秒]======
2018-08-17 13:32:44.760 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:32:44.834 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:32:44.834 INFO  ======响应报文[耗时：74毫秒]======
2018-08-17 13:32:47.206 INFO  ======交易[MallPoints-UserPoints]：开始执行======
2018-08-17 13:32:47.258 INFO  ======交易[MallPoints-UserPoints]：执行结束======
2018-08-17 13:32:47.258 INFO  ======响应报文[耗时：51毫秒]======
2018-08-17 13:32:47.262 INFO  ======交易[MallPoints-PointsRecord]：开始执行======
2018-08-17 13:32:47.298 INFO  ======交易[MallPoints-PointsRecord]：执行结束======
2018-08-17 13:32:47.298 INFO  ======响应报文[耗时：36毫秒]======
2018-08-17 13:32:50.706 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:32:50.736 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:32:50.736 INFO  ======响应报文[耗时：30毫秒]======
2018-08-17 13:32:50.739 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:32:50.811 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:32:50.811 INFO  ======响应报文[耗时：72毫秒]======
2018-08-17 13:32:56.466 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:32:56.485 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:32:56.485 INFO  ======响应报文[耗时：19毫秒]======
2018-08-17 13:32:56.485 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:32:56.829 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:32:56.829 INFO  ======响应报文[耗时：344毫秒]======
2018-08-17 13:33:00.820 INFO  ======交易[MallPoints-UserPoints]：开始执行======
2018-08-17 13:33:01.046 INFO  ======交易[MallPoints-UserPoints]：执行结束======
2018-08-17 13:33:01.046 INFO  ======响应报文[耗时：226毫秒]======
2018-08-17 13:33:01.048 INFO  ======交易[MallPoints-PointsRecord]：开始执行======
2018-08-17 13:33:01.063 INFO  ======交易[MallPoints-PointsRecord]：执行结束======
2018-08-17 13:33:01.063 INFO  ======响应报文[耗时：15毫秒]======
2018-08-17 13:33:04.304 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:33:04.326 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:33:04.326 INFO  ======响应报文[耗时：22毫秒]======
2018-08-17 13:39:50.570 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:39:50.588 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:39:50.588 INFO  ======响应报文[耗时：18毫秒]======
2018-08-17 13:40:21.701 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:40:21.943 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:40:21.943 INFO  ======响应报文[耗时：242毫秒]======
2018-08-17 13:40:21.943 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:40:22.053 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:40:22.053 INFO  ======响应报文[耗时：110毫秒]======
2018-08-17 13:40:24.336 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:40:24.366 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:40:24.366 INFO  ======响应报文[耗时：30毫秒]======
2018-08-17 13:40:26.161 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:40:26.186 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:40:26.186 INFO  ======响应报文[耗时：25毫秒]======
2018-08-17 13:40:26.187 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:40:26.460 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:40:26.460 INFO  ======响应报文[耗时：272毫秒]======
2018-08-17 13:40:28.193 INFO  ======交易[MallPoints-UserPoints]：开始执行======
2018-08-17 13:40:28.202 INFO  ======交易[MallPoints-UserPoints]：执行结束======
2018-08-17 13:40:28.202 INFO  ======响应报文[耗时：9毫秒]======
2018-08-17 13:40:28.207 INFO  ======交易[MallPoints-PointsRecord]：开始执行======
2018-08-17 13:40:28.220 INFO  ======交易[MallPoints-PointsRecord]：执行结束======
2018-08-17 13:40:28.220 INFO  ======响应报文[耗时：13毫秒]======
2018-08-17 13:40:36.932 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:40:36.971 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:40:36.971 INFO  ======响应报文[耗时：39毫秒]======
2018-08-17 13:40:36.971 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:40:37.065 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:40:37.065 INFO  ======响应报文[耗时：94毫秒]======
2018-08-17 13:40:43.366 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:40:43.514 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:40:43.514 INFO  ======响应报文[耗时：148毫秒]======
2018-08-17 13:42:13.639 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:42:13.671 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:42:13.671 INFO  ======响应报文[耗时：32毫秒]======
2018-08-17 13:42:46.464 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:42:46.481 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
