2018-07-25 19:51:11.067 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 19:51:11.116 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 19:51:11 CST 2018]; root of context hierarchy
2018-07-25 19:51:11.154 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 19:51:11.255 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 19:53:02.609 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 19:53:02.629 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 19:53:02 CST 2018]; root of context hierarchy
2018-07-25 19:53:02.682 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 19:53:02.774 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:01:40.097 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:01:40.114 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:01:40 CST 2018]; root of context hierarchy
2018-07-25 20:01:40.146 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:01:40.238 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:04:04.909 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:04:04.928 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:04:04 CST 2018]; root of context hierarchy
2018-07-25 20:04:04.961 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:04:05.049 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:18:24.709 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:18:24.739 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:18:24 CST 2018]; root of context hierarchy
2018-07-25 20:18:24.789 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:18:24.933 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:34:38.701 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:34:38.714 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:34:38 CST 2018]; root of context hierarchy
2018-07-25 20:34:38.739 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:34:38.826 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:35:33.344 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:35:33.358 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:35:33 CST 2018]; root of context hierarchy
2018-07-25 20:35:33.387 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:35:33.488 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:38:50.649 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:38:50.669 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:38:50 CST 2018]; root of context hierarchy
2018-07-25 20:38:50.708 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:38:50.827 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-25 20:40:20.199 INFO  FrameworkServlet 'remote': initialization started
2018-07-25 20:40:20.216 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Wed Jul 25 20:40:20 CST 2018]; root of context hierarchy
2018-07-25 20:40:20.259 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-07-25 20:40:20.359 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
